time,f0,intensity
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0.15
0.05,243.16,0.16
0.06,323.21,0.23
0.07,153.46,0.31
0.08,306.78,0.31
0.09,311.47,0.32
0.1,311.23,0.24
0.11,143.91,0.08
0.12,281.78,0.03
0.13,277.2,0.01
0.14,64.05,0.01
0.15,97.03,0.02
0.16,278.58,0.15
0.17,311.53,0.31
0.18,296.72,0.39
0.19,282.57,0.38
0.2,270.78,0.35
0.21,258.95,0.33
0.22,252.73,0.31
0.23,251.48,0.29
0.24,240.03,0.26
0.25,235.15,0.27
0.26,231.65,0.28
0.27,227.22,0.27
0.28,225.61,0.27
0.29,225.47,0.28
0.3,225.09,0.27
0.31,223.61,0.28
0.32,222.28,0.27
0.33,222.2,0.27
0.34,221.67,0.27
0.35,221.37,0.26
0.36,216.3,0.27
0.37,221.47,0.29
0.38,221.82,0.32
0.39,222.75,0.32
0.4,224.07,0.3
0.41,233.21,0.29
0.42,233.63,0.25
0.43,238.73,0.24
0.44,245.38,0.25
0.45,251.54,0.25
0.46,255.82,0.24
0.47,262.92,0.23
0.48,266.93,0.22
0.49,271.25,0.24
0.5,275.89,0.27
0.51,278.4,0.28
0.52,278.01,0.25
0.53,276.66,0.2
0.54,271.18,0.13
0.55,274.32,0.07
0.56,277.96,0.03
0.57,276.08,0.01
0.58,266.87,0.01
0.59,263.22,0.01
0.6,263.25,0.01
0.61,255.2,0
0.62,177.29,0
0.63,212.29,0
0.64,177.72,0
0.65,267.26,0
0.66,239.03,0
0.67,66.91,0
0.68,141.16,0
0.69,203.72,0
0.7,279.39,0
0.71,270.23,0
0.72,286.61,0
0.73,286.02,0
0.74,285.43,0
0.75,284.85,0
0.76,284.26,0
0.77,283.67,0
0.78,283.09,0
0.79,282.5,0
0.8,281.91,0
0.81,281.33,0
0.82,280.74,0
0.83,280.15,0
0.84,279.57,0
0.85,278.98,0
0.86,278.39,0
0.87,277.81,0
0.88,277.22,0
0.89,276.64,0
0.9,276.05,0
0.91,275.46,0
0.92,274.88,0
0.93,274.29,0.01
0.94,273.7,0.03
0.95,273.12,0.06
0.96,272.53,0.07
0.97,271.94,0.1
0.98,271.36,0.11
0.99,270.77,0.08
1,270.18,0.05
1.01,269.6,0.04
1.02,256.19,0.17
1.03,211.46,0.26
1.04,204.25,0.29
1.05,195.56,0.27
1.06,188.66,0.19
1.07,185.65,0.08
1.08,159.5,0.03
1.09,96.94,0.01
1.1,159.7,0.01
1.11,86.74,0
1.12,138.94,0
1.13,185.75,0.02
1.14,97.29,0.04
1.15,176.05,0.11
1.16,190.09,0.22
1.17,192.02,0.27
1.18,187.87,0.28
1.19,182.2,0.22
1.2,180.02,0.15
1.21,184.68,0.16
1.22,183.63,0.17
1.23,182.37,0.16
1.24,181.68,0.15
1.25,182.33,0.14
1.26,186.6,0.18
1.27,184.08,0.23
1.28,178.31,0.22
1.29,173.06,0.17
1.3,173.12,0.11
1.31,176.03,0.03
1.32,178.94,0.02
1.33,181.84,0.02
1.34,184.75,0.04
1.35,187.66,0.05
1.36,190.57,0.04
1.37,192.32,0.06
1.38,188.33,0.12
1.39,178.78,0.15
1.4,173.53,0.14
1.41,170.12,0.11
1.42,167.15,0.08
1.43,165.53,0.03
1.44,166.31,0.01
1.45,175.89,0
1.46,144.74,0
1.47,96.76,0
1.48,91.28,0
1.49,85.8,0
1.5,80.33,0
1.51,74.85,0.01
1.52,69.37,0.02
1.53,63.89,0.02
1.54,107.97,0.02
1.55,203.3,0.07
1.56,202.18,0.12
1.57,177.64,0.14
1.58,175.44,0.13
1.59,174.15,0.12
1.6,173.94,0.11
1.61,173.89,0.12
1.62,173.97,0.12
1.63,174.77,0.12
1.64,174.44,0.12
1.65,174.95,0.12
1.66,178.52,0.11
1.67,180.79,0.1
1.68,182.95,0.09
1.69,189.36,0.09
1.7,196.57,0.1
1.71,198.51,0.09
1.72,201.98,0.07
1.73,206.55,0.04
1.74,206.8,0.03
1.75,207.06,0.03
1.76,207.31,0.06
1.77,207.56,0.08
1.78,207.82,0.08
1.79,208.07,0.09
1.8,208.32,0.09
1.81,208.57,0.09
1.82,208.83,0.1
1.83,209.08,0.09
1.84,209.33,0.08
1.85,209.59,0.07
1.86,209.84,0.04
1.87,210.09,0.02
1.88,210.34,0.01
1.89,210.6,0
1.9,210.85,0
1.91,211.1,0
1.92,211.36,0
1.93,211.61,0
