word,stem,onset,offset,word_freq
once,once,0.113,0.728,338.46
when,when,0.728,0.919,1924.1
i,i,0.919,1.025,4918.5
was,was,1.025,1.158,6966.8
six,six,1.158,1.464,182.9
years,years,1.464,1.671,713.11
old,old,1.671,1.973,485.99
i,i,2.342,2.48,4918.5
saw,saw,2.48,2.687,204.28
a,a,2.687,2.851,19384
magnificent,magnificent,2.851,3.723,17.581
picture,picture,3.723,4.297,101.88
in,in,4.297,4.357,21385
a,a,4.357,4.437,19384
book,book,4.437,4.725,309.78
about,about,4.725,4.947,1355.8
the,the,4.947,5.053,67225
primeval,primeval,5.053,5.634,2.1897
forest,forest,5.634,6.247,65.99
called,called,6.247,6.827,417.5
real,real,6.827,7.277,229.88
life,life,7.277,7.567,768.84
stories,stories,7.567,8.339,66.932
it,it,9.247,9.432,7267.4
showed,showed,9.432,9.755,87.113
a,a,9.755,9.812,19384
boa,boa,9.812,10.176,0.80349
constrictor,constrictor,10.176,10.876,0.57827
swallowing,swallowing,10.876,11.487,3.6716
a,a,11.487,11.592,19384
wild,wild,11.592,12,62.23
animal,animal,12,12.416,84.728
here,here,13.144,13.344,547.34
is,is,13.344,13.469,10615
a,a,13.469,13.509,19384
copy,copy,13.509,13.9,55.841
of,of,13.9,13.999,39205
the,the,13.999,14.079,67225
drawing,drawing,14.079,14.464,59.03
it,it,15.86,16.023,7267.4
said,said,16.023,16.264,959.68
in,in,16.264,16.365,21385
the,the,16.365,16.437,67225
book,book,16.437,16.755,309.78
boa,boa,17.219,17.584,0.80349
constrictors,constrictors,17.584,18.322,0.11653
swallow,swallow,18.322,18.812,7.2383
their,their,18.812,18.984,2725.8
prey,prey,18.984,19.458,13.023
whole,whole,19.458,19.913,334.75
without,without,19.913,20.334,589.46
chewing,chewing,20.334,20.902,3.8134
then,then,21.561,21.876,1105
they,they,21.876,22.006,3117.2
are,are,22.006,22.106,4685
not,not,22.106,22.306,5726.1
able,able,22.306,22.566,231.42
to,to,22.566,22.706,24495
move,move,22.706,23.371,118.96
and,and,23.371,23.626,28654
they,they,23.626,23.745,3117.2
sleep,sleep,23.745,24.149,64.429
for,for,24.149,24.256,8286.8
the,the,24.256,24.356,67225
six,six,24.356,24.786,182.9
months,months,24.786,25.135,153.41
it,it,25.135,25.226,7267.4
takes,takes,25.226,25.496,106.53
for,for,25.496,25.606,8286.8
digestion,digestion,25.606,26.339,7.6773
so,so,27.292,27.777,1834.7
i,i,27.777,27.887,4918.5
thought,thought,27.887,28.167,369.81
a,a,28.167,28.266,19384
lot,lot,28.266,28.487,92.29
about,about,28.487,28.737,1355.8
the,the,28.737,28.854,67225
adventures,adventures,28.854,29.387,10.562
of,of,29.387,29.474,39205
the,the,29.474,29.587,67225
jungle,jungle,29.587,30.101,9.12
and,and,30.296,30.548,28654
in,in,30.548,30.734,21385
turn,turn,30.734,31.394,170.29
i,i,31.394,31.6,4918.5
managed,managed,31.6,32.13,41.666
with,with,32.13,32.231,6561.8
a,a,32.231,32.286,19384
coloured,colored,32.286,32.6,25.3
pencil,pencil,32.6,33.125,12.056
to,to,33.399,33.524,24495
make,make,33.524,33.764,636.59
my,my,33.764,34.034,1370.3
first,first,34.034,34.414,1168.8
drawing,drawing,34.414,34.824,59.03
my,my,35.258,35.463,1370.3
drawing,drawing,35.463,35.876,59.03
number,number,35.876,36.363,533.87
one,one,36.363,36.647,2720.8
it,it,37.186,37.311,7267.4
looked,looked,37.311,37.631,174.06
like,like,37.631,37.891,898.72
this,this,37.891,38.326,4844.1
i,i,39.608,39.791,4918.5
showed,showed,39.791,40.103,87.113
my,my,40.103,40.273,1370.3
masterpiece,masterpiece,40.273,40.943,3.8759
to,to,40.943,41.053,24495
the,the,41.053,41.113,67225
grownups,grownups,41.113,41.934,0.31073
and,and,41.934,42.083,28654
i,i,42.083,42.243,4918.5
asked,asked,42.243,42.613,219.97
them,them,42.613,42.729,1518.8
if,if,42.729,42.838,1981.4
my,my,42.838,43.024,1370.3
drawing,drawing,43.024,43.346,59.03
frightened,frightened,43.346,43.793,14.146
them,them,43.793,44.011,1518.8
they,they,44.39,44.589,3117.2
answered,answered,44.589,44.945,54.332
me,me,44.945,45.18,1037.6
why,why,45.739,45.91,292.22
would,would,45.91,46.213,1864.7
anyone,anyone,46.213,46.674,66.747
be,be,46.674,46.81,6101
frightened,frightened,46.81,47.294,14.146
by,by,47.294,47.444,5954.5
a,a,47.444,47.558,19384
hat,hat,47.558,48.092,28.734
my,my,49.13,49.315,1370.3
drawing,drawing,49.315,49.665,59.03
was,was,49.665,49.829,6966.8
not,not,49.829,50.035,5726.1
of,of,50.035,50.145,39205
a,a,50.145,50.243,19384
hat,hat,50.243,50.645,28.734
it,it,51.109,51.503,7267.4
showed,showed,51.503,51.754,87.113
a,a,51.754,51.814,19384
boa,boa,51.814,52.194,0.80349
constrictor,constrictor,52.194,52.854,0.57827
digesting,digesting,52.854,53.555,0.77429
an,an,53.555,53.667,3451.6
elephant,elephant,53.667,54.232,8.7661
i,i,55.085,55.583,4918.5
then,then,55.583,55.887,1105
drew,drew,55.887,56.1,41.154
the,the,56.1,56.254,67225
inside,inside,56.254,56.78,90.856
of,of,56.78,56.87,39205
the,the,56.87,56.95,67225
boa,boa,56.95,57.24,0.80349
constrictor,constrictor,57.24,58.12,0.57827
so,so,58.12,58.37,1834.7
that,that,58.37,58.51,10130
the,the,58.51,58.6,67225
grownups,grownups,58.6,59.17,0.31073
could,could,59.17,59.32,1122.9
understand,understand,59.32,60.093,141
they,they,60.612,60.737,3117.2
always,always,60.737,61.167,366.31
need,need,61.167,61.337,346.24
to,to,61.337,61.427,24495
have,have,61.427,61.692,3516.4
things,things,61.692,61.987,331.07
explained,explained,61.987,62.676,68.033
my,my,63.594,63.803,1370.3
drawing,drawing,63.803,64.152,59.03
number,number,64.152,64.512,533.87
two,two,64.512,64.954,1309.2
looked,looked,64.954,65.279,174.06
like,like,65.279,65.549,898.72
this,this,65.549,65.973,4844.1
the,the,67.14,67.205,67225
grownups,grownups,67.205,67.794,0.31073
advised,advised,67.794,68.201,18.919
me,me,68.201,68.285,1037.6
to,to,68.285,68.449,24495
leave,leave,68.449,68.735,141.09
aside,aside,68.735,69.245,42.831
drawings,drawings,69.245,69.76,17.642
of,of,69.76,69.825,39205
boa,boa,69.825,70.185,0.80349
constrictors,constrictors,70.185,71.013,0.11653
open,open,71.013,71.34,233.29
or,or,71.34,71.455,4643.6
closed,closed,71.455,72.355,74.767
and,and,72.355,72.515,28654
to,to,72.515,72.595,24495
apply,apply,72.595,72.965,73.456
myself,myself,72.965,73.515,114.56
instead,instead,73.515,74.175,150.01
to,to,74.175,74.355,24495
geography,geography,74.355,75.245,17.853
history,history,75.245,75.815,351.68
arithmetic,arithmetic,75.815,76.775,11.349
and,and,76.775,76.925,28654
grammar,grammar,76.925,77.391,19.59
thus,thus,78.254,78.839,446.67
i,i,78.839,79.029,4918.5
abandoned,abandoned,79.029,79.609,30.651
at,at,79.609,79.709,4321.7
the,the,79.709,79.843,67225
age,age,79.843,80.117,263.4
of,of,80.117,80.189,39205
six,six,80.189,80.999,182.9
a,a,80.999,81.096,19384
magnificent,magnificent,81.096,82.069,17.581
career,career,82.069,82.529,61.052
as,as,82.529,82.639,7217.4
a,a,82.639,82.714,19384
painter,painter,82.714,83.173,16.541
i,i,83.716,83.859,4918.5
was,was,83.859,84.021,6966.8
