,0,1,2,3,4,5,6,7,8,9,10
0,i,thus,learned,a,second,,,,,,
1,very,important,thing,that,,,,,,,
2,his,home,planet,was,barely,bigger,,,,,
3,than,a,house,it,didn,,,,,,
4,t,surprise,me,much,i,knew,that,,,,
5,apart,from,the,large,planets,like,,,,,
6,the,earth,jupiter,mars,and,venus,,,,,
7,which,have,been,given,names,,,,,,
8,there,are,hundreds,of,others,that,are,sometimes,,,
9,so,small,that,one,,,,,,,
10,has,great,difficulty,in,spotting,them,,,,,
11,through,the,telescope,when,,,,,,,
12,an,astronomer,discovers,one,of,these,,,,,
13,he,gives,it,a,number,for,a,name,,,
14,he,might,call,it,for,example,,,,,
15,asteroid,325,,,,,,,,,
16,i,have,serious,,,,,,,,
17,reason,to,believe,that,the,planet,from,where,,,
18,the,little,prince,came,is,the,asteroid,,,,
19,b,612,,,,,,,,,
20,this,asteroid,,,,,,,,,
21,has,only,been,seen,through,a,telescope,once,,,
22,in,1909,by,a,turkish,,,,,,
23,astronomer,he,had,,,,,,,,
24,then,given,a,big,presentation,on,,,,,
25,his,discovery,at,an,international,,,,,,
26,astronomy,conference,but,,,,,,,,
27,nobody,had,believed,him,because,of,his,outfit,,,
28,grownups,are,like,that,,,,,,,
29,fortunately,for,the,reputation,,,,,,,
30,of,asteroid,b,612,,,,,,,
31,a,turkish,dictator,,,,,,,,
32,imposed,on,his,people,on,pain,of,death,,,
33,to,dress,themselves,in,the,european,,,,,
34,fashion,the,,,,,,,,,
35,astronomer,gave,his,presentation,again,,,,,,
36,in,1920,dressed,very,stylishly,,,,,,
37,and,this,time,,,,,,,,
38,everybody,believed,him,,,,,,,,
39,if,i,have,told,you,these,details,about,,,
40,the,asteroid,b,612,,,,,,,
41,and,revealed,to,you,its,number,,,,,
42,it,s,because,of,the,grownups,grownups,,,,
43,love,numbers,when,,,,,,,,
44,you,talk,to,them,about,a,friend,they,never,,
45,ask,you,about,any,of,the,important,things,,,
46,they,never,ask,you,how,does,his,,,,
47,voice,sound,what,games,does,he,like,,,,
48,best,does,he,collect,butterflies,,,,,,
49,they,ask,how,old,,,,,,,
50,is,he,how,many,brothers,does,he,have,,,
51,how,much,does,he,weigh,how,much,money,,,
52,does,his,father,make,only,,,,,,
53,then,do,they,think,they,know,him,,,,
54,if,you,said,to,the,grownups,,,,,
55,i,saw,a,beautiful,,,,,,,
56,red,brick,house,with,geraniums,,,,,,
57,by,the,windows,and,doves,on,the,roof,,,
58,they,wouldn,t,be,able,to,picture,this,,,
59,house,in,their,minds,you,d,have,,,,
60,to,tell,them,i,saw,a,hundred,,,,
61,thousand,franc,house,,,,,,,,
62,and,they,d,cry,how,pretty,,,,,
63,so,if,you,were,to,say,to,them,,,
64,the,proof,that,the,little,prince,existed,,,,
65,is,that,he,was,charming,,,,,,
66,he,laughed,and,he,wanted,a,sheep,,,,
67,if,someone,wants,a,sheep,,,,,,
68,that,proves,they,exist,they,,,,,,
69,d,shrug,their,shoulders,and,treat,you,like,,,
70,a,child,but,if,you,were,to,say,,,
71,the,planet,he,came,from,,,,,,
72,is,the,asteroid,b,612,,,,,,
73,they,d,be,convinced,and,leave,,,,,
74,you,in,peace,and,spare,you,their,questions,,,
75,they,re,like,that,don,,,,,,
76,t,blame,them,children,should,be,forgiving,,,,
77,towards,the,grownups,,,,,,,,
78,but,of,course,those,of,us,who,understand,,,
79,life,we,don,t,much,care,,,,,
80,for,numbers,i,d,have,liked,,,,,
81,to,begin,this,story,in,the,same,way,as,a,fairy
82,tale,i,d,have,liked,to,say,,,,
83,once,upon,a,time,there,was,,,,,
84,a,little,prince,who,lived,on,a,planet,not,,
85,much,bigger,than,himself,and,who,,,,,
86,needed,a,friend,for,those,,,,,,
87,who,understand,life,it,would,have,,,,,
88,seemed,much,more,natural,,,,,,,
89,for,i,don,t,want,my,book,to,be,read,lightly
90,i,feel,so,much,sadness,,,,,,
91,in,recounting,these,memories,,,,,,,
92,it,s,already,been,six,years,since,,,,
93,my,friend,left,with,his,sheep,,,,,
94,if,i,try,to,describe,him,here,,,,
95,it,s,so,as,not,to,forget,him,,,
96,it,s,sad,to,forget,a,friend,,,,
97,not,everyone,has,had,a,friend,,,,,
98,and,if,i,forgot,him,,,,,,
99,i,could,become,like,the,grownups,who,,,,
100,are,only,interested,in,numbers,,,,,,
101,so,that,s,why,i,have,again,,,,
102,bought,a,box,of,paints,and,some,,,,
103,pencils,it,s,hard,to,take,,,,,
104,up,drawing,again,at,my,age,,,,,
105,when,i,have,only,ever,attempted,to,draw,a,boa,
106,constrictor,closed,and,open,,,,,,,
107,at,the,age,of,six,i,ll,try,,,
108,of,course,to,make,my,portraits,as,,,,
109,lifelike,as,possible,but,,,,,,,
110,i,m,not,quite,sure,i,ll,succeed,,,
111,some,drawings,go,alright,,,,,,,
112,others,don,t,look,like,their,subjects,,,,
113,i,also,get,the,size,,,,,,
114,a,bit,wrong,here,the,,,,,,
115,little,prince,is,too,big,there,he,,,,
116,s,too,small,i,m,also,,,,,
117,not,sure,about,the,colour,of,his,outfit,,,
118,so,i,fumble,along,,,,,,,
119,somehow,as,best,i,can,,,,,,
120,i,will,make,mistakes,on,certain,important,,,,
121,points,too,but,,,,,,,,
122,you,ll,have,to,forgive,me,that,my,,,
123,friend,never,gave,explanations,,,,,,,
124,perhaps,he,thought,i,was,just,like,himself,,,
125,but,i,unfortunately,,,,,,,,
126,don,t,know,how,to,see,sheep,,,,
127,through,boxes,perhaps,i,m,,,,,,
128,a,bit,like,the,grownups,i,must,,,,
129,have,got,older,,,,,,,,
130,every,day,i,d,learn,something,about,,,,
131,his,planet,the,departure,and,the,trip,,,,
132,the,information,came,,,,,,,,
133,slowly,as,his,thoughts,wandered,,,,,,
