,0,1,2,3,4,5,6,7,8,9
0,the,sixth,planet,was,ten,times,,,,
1,larger,than,the,last,it,,,,,
2,was,inhabited,by,an,old,gentleman,,,,
3,who,wrote,enormous,books,,,,,,
4,oh,look,here,,,,,,,
5,comes,an,explorer,he,cried,,,,,
6,out,when,he,caught,sight,of,the,little,prince,
7,the,little,prince,sat,,,,,,
8,down,on,the,table,and,panted,a,little,,
9,he,had,already,travelled,so,,,,,
10,far,where,do,you,come,from,,,,
11,the,old,gentleman,said,to,him,,,,
12,what,s,that,big,book,said,,,,
13,the,little,prince,what,do,you,do,here,,
14,i,am,a,geographer,,,,,,
15,said,the,old,gentleman,what,,,,,
16,s,a,geographer,he,is,a,,,,
17,scholar,who,knows,the,location,of,the,seas,,
18,the,rivers,the,towns,the,mountains,,,,
19,and,the,deserts,that,s,,,,,
20,very,interesting,said,the,little,prince,,,,
21,that,really,is,at,last,,,,,
22,a,real,profession,and,,,,,,
23,he,glanced,around,at,the,planet,of,the,geographer,
24,he,had,never,seen,,,,,,
25,such,a,majestic,planet,before,,,,,
26,your,planet,is,very,beautiful,,,,,
27,he,said,are,,,,,,,
28,there,oceans,i,wouldn't,,know,,,,
29,said,the,geographer,,,,,,,
30,oh,the,little,prince,was,disappointed,,,,
31,and,mountains,,,,,,,,
32,i,wouldn't,,know,said,the,geographer,,,
33,and,towns,,,,,,,,
34,and,rivers,and,deserts,,,,,,
35,i,wouldn't,,know,that,either,said,the,geographer,
36,but,you,re,a,geographer,,,,,
37,that,s,TRUE,,,,,,,
38,the,geographer,said,but,i,,,,,
39,am,not,an,explorer,i,don't,,,,
40,have,a,single,explorer,it,,,,,
41,is,not,for,the,geographer,to,count,the,towns,
42,the,rivers,the,mountains,the,seas,,,,
43,the,oceans,and,the,deserts,,,,,
44,the,geographer,is,too,important,to,go,,,
45,strolling,about,he,doesn't,,leave,,,,
46,his,desk,but,he,receives,,,,,
47,the,explorers,he,asks,them,questions,,,,
48,and,he,writes,down,their,recollections,,,,
49,and,if,any,of,their,recollections,,,,
50,seem,interesting,to,him,the,geographer,,,,
51,orders,an,inquiry,into,that,explorer,,,,
52,s,moral,character,,,,,,,
53,why,s,that,because,,,,,,
54,an,explorer,who,told,lies,would,,,,
55,cause,havoc,to,geography,books,,,,,
56,so,would,an,explorer,who,drank,,,,
57,too,much,why,s,that,,,,,
58,asked,the,little,prince,,,,,,
59,because,intoxicated,men,see,double,,,,,
60,so,the,geographer,would,record,,,,,
61,two,mountains,in,a,place,where,there,was,only,
62,one,i,know,someone,,,,,,
63,said,the,little,prince,who,d,make,a,,
64,bad,explorer,that,s,possible,,,,,
65,so,,,,,,,,,
66,when,the,moral,character,of,the,explorer,,,
67,appears,to,be,in,order,an,inquiry,,,
68,is,done,into,his,discovery,,,,,
69,you,go,to,see,it,no,,,,
70,that,would,be,too,complicated,,,,,
71,but,one,requires,the,explorer,to,provide,,,
72,proof,if,for,example,,,,,,
73,the,discovery,in,question,was,of,,,,
74,a,large,mountain,one,would,require,,,,
75,that,he,bring,back,large,stones,,,,
76,from,it,the,geographer,suddenly,,,,,
77,became,excited,but,you,,,,,,
78,you,come,from,far,away,,,,,
79,you,are,an,explorer,,,,,,
80,you,must,describe,your,planet,to,me,,,
81,and,the,geographer,having,opened,,,,,
82,his,big,register,sharpened,,,,,,
83,his,pencil,the,recitals,,,,,,
84,of,explorers,are,first,recorded,in,pencil,,,
85,one,waits,until,the,explorer,,,,,
86,has,provided,proof,before,recording,,,,,
87,them,in,ink,well,,,,,,
88,said,the,geographer,oh,,,,,,
89,where,i,live,said,the,little,prince,,,
90,it,s,not,very,interesting,,,,,
91,everything,is,very,small,,,,,,
92,i,have,three,volcanoes,,,,,,
93,two,active,volcanoes,and,one,extinct,,,,
94,one,but,you,never,know,,,,,
95,one,never,knows,said,the,geographer,,,,
96,i,also,have,a,flower,,,,,
97,we,do,not,record,flowers,,,,,
98,said,the,geographer,why,,,,,,
99,s,that,it,s,the,prettiest,thing,,,
100,because,flowers,are,ephemeral,,,,,,
101,what,does,that,mean,,,,,,
102,ephemeral,,,,,,,,,
103,geography,books,said,the,geographer,,,,,
104,of,all,books,are,the,most,,,,
105,concerned,with,matters,of,consequence,,,,,
106,they,never,become,out,dated,,,,,
107,it,is,very,rare,,,,,,
108,that,a,mountain,changes,position,,,,,
109,it,is,very,rare,that,an,,,,
110,ocean,empties,itself,of,its,water,,,,
111,we,write,about,eternal,things,,,,,
112,but,extinct,,,,,,,,
113,volcanoes,can,wake,up,interrupted,,,,,
114,the,little,prince,what,,,,,,
115,does,ephemeral,mean,,,,,,,
116,whether,volcanoes,are,extinct,,,,,,
117,or,active,is,of,no,consequence,to,,,
118,us,said,the,geographer,,,,,,
119,the,thing,that,matters,to,us,is,the,,
120,mountain,it,does,not,change,,,,,
121,but,what,does,ephemeral,,,,,,
122,mean,repeated,the,little,prince,,,,,
123,who,had,never,in,his,life,let,,,
124,go,of,a,question,once,he,had,asked,it,
125,it,means,,,,,,,,
126,which,is,at,risk,of,imminent,disappearance,,,
127,is,my,,,,,,,,
128,flower,at,risk,of,imminent,disappearance,,,,
129,of,course,,,,,,,,
130,my,flower,is,ephemeral,the,little,,,,
131,prince,said,to,himself,,,,,,
132,and,she,has,only,four,thorns,to,defend,,
133,herself,against,the,world,and,,,,,
134,i,ve,left,her,all,alone,on,my,planet,
135,that,was,his,,,,,,,
136,first,moment,of,regret,,,,,,
137,but,he,took,heart,once,again,,,,
138,what,place,would,you,advise,me,to,,,
139,visit,he,asked,the,planet,,,,,
140,earth,replied,the,geographer,,,,,,
141,it,has,a,good,reputation,,,,,
142,and,the,little,prince,went,away,,,,
143,thinking,of,his,flower,,,,,,
144,so,the,seventh,planet,,,,,,
145,was,the,earth,the,earth,,,,,
146,isn,t,just,any,old,planet,,,,
147,it,has,one,hundred,and,eleven,,,,
148,kings,not,forgetting,of,course,,,,,
149,the,negro,kings,amongst,them,,,,,
150,seven,thousand,geographers,nine,,,,,,
151,hundred,thousand,businessmen,seven,,,,,,
152,million,five,hundred,thousand,,,,,,
153,heavy,drinkers,three,hundred,and,eleven,,,,
154,million,conceited,men,,,,,,,
155,that,s,to,say,about,two,billion,,,
156,grownups,to,,,,,,,,
157,give,you,an,idea,of,the,size,of,the,earth
158,i,ll,tell,you,that,before,the,invention,,
159,of,electricity,it,was,necessary,,,,,
160,to,maintain,over,the,span,of,the,,,
161,six,continents,a,veritable,,,,,,
162,army,of,four,hundred,and,sixty,,,,
163,two,thousand,five,hundred,and,eleven,,,,
164,streetlamp,lighters,,,,,,,,
165,seen,from,a,distance,it,made,,,,
166,a,wonderful,spectacle,,,,,,,
167,the,movements,of,this,army,were,regulated,,,
168,like,those,of,an,opera,ballet,,,,
169,first,came,the,turn,of,,,,,
170,the,lamplighters,of,new,zealand,and,australia,,,
171,having,set,their,lamps,,,,,,
172,alight,they,would,go,off,to,bed,,,
173,next,came,the,turn,of,the,lamplighters,,,
174,of,china,and,siberia,,,,,,
175,to,enter,into,the,dance,then,,,,
176,they,too,would,disappear,into,the,wings,,,
177,then,came,the,turn,of,,,,,
178,the,lamplighters,of,russia,and,the,indies,,,
179,then,those,of,africa,,,,,,
180,and,europe,then,those,of,south,,,,
181,america,then,those,of,north,america,,,,
182,and,never,would,they,,,,,,
183,make,a,mistake,in,their,order,of,entry,,
184,on,stage,it,was,magnificent,,,,,
185,,,,,,,,,,
186,only,the,lamplighter,of,the,single,,,,
187,lamp,of,the,north,pole,and,his,colleague,,
188,at,the,single,lamp,of,the,south,pole,,
189,led,lives,of,leisure,,,,,,
190,they,worked,twice,a,year,,,,,
191,when,one,wants,to,be,witty,,,,
192,it,can,happen,that,one,bends,,,,
193,the,truth,a,little,i,haven,,,,
194,t,been,entirely,honest,in,,,,,
195,telling,you,about,the,lamplighters,,,,,
196,i,run,the,risk,of,giving,a,FALSE,,
197,idea,of,our,planet,to,those,who,don,,
198,t,know,it,men,,,,,,
199,take,up,very,little,space,on,the,earth,,
200,if,the,two,billion,people,,,,,
201,who,inhabit,the,earth,were,to,stand,,,
202,upright,and,squash,together,a,little,,,,
203,like,for,a,meeting,they,would,,,,
